Unnamed: 0,company,name,color,type,ratings,people_review,offer_price,real_price,offer,battery_hours,fast_charging,ENC,ANC,calculated_discount,amount_saved,value_score,feature__score,feature_count
0,Aroma,NB119B Badshah - 40 Hours Playtime Bluetooth Neck...,Black, In the Ear,4.0,240115,381,1499,74% off,40,False,False,False,74.58305537024683,1118,298.3322214809873,,0
1,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless Bluetooth...,Blue, In the Ear,3.9,188519,445,3850,88% off,,False,False,False,88.44155844155844,3405,344.9220779220779,,0
2,Aroma,NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,Blue, In the Ear,4.0,162560,499,2499,80% off,48,False,False,False,80.03201280512204,2000,320.12805122048815,,0
3,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",White, In the Ear,4.2,14276,1299,4999,74% off,60,False,True,False,74.01480296059212,3700,310.8621724344869,,1
4,Aroma,NB119Pro Belief 48 Hours Playing Time Fast Chargi...,Blue, In the Ear,4.0,65327,395,1999,80% off,48,True,False,False,80.24012006003002,1604,320.9604802401201,,1
5,Aroma,NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,Black, In the Ear,4.0,162560,499,2499,80% off,48,False,False,False,80.03201280512204,2000,320.12805122048815,,0
6,OnePlus,"Bullets Wireless Z2 with Fast Charge, 30 Hrs Ba...",Magico Black, In the Ear,4.2,506991,1799,2299,21% off,30,True,False,False,21.748586341887776,500,91.34406263592867,,1
7,Boult,"Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",Blue, In the Ear,4.0,49704,799,4499,82% off,,False,True,False,82.24049788841965,3700,328.9619915536786,,1
8,boAt,Rockerz 255 Pro+ /258 Pro+ with ASAP Charge and up...,Navy Blue, In the Ear,4.2,624229,1199,3990,69% off,,False,False,False,69.9498746867168,2791,293.7894736842106,,0
9,MASOORI,M19 / M10 / T2 TWS Bluetooth 5.0 Wireless Touch...,Black, True Wireless,3.6,547,499,1299,61% off,,False,False,False,61.585835257890686,800,221.70900692840647,,0
10,Dozokil,High M10 Pro TWS Bluetooth Earbuds Wireless Ear...,Black, True Wireless,3.7,365,488,2499,80% off,,False,False,False,80.47218887555022,2011,297.7470988395358,,0
11,Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",Black, True Wireless,4.1,111172,999,5499,81% off,40,True,False,False,81.83306055646482,4500,335.5155482815057,,1
12,boAt,Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,Active Black Matte Indi, True Wireless,4.0,1345614,899,2990,69% off,60,False,False,False,69.93311036789298,2091,279.7324414715719,,0
13,boAt,"Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,...",Active Black  Dark Grey, In the Ear,3.9,112074,1299,2990,56% off,45,False,False,False,56.5551839464883,1691,220.56521739130437,,0
14,Noise,"Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",Jet Black, True Wireless,4.1,252983,1299,2999,56% off,50,False,False,False,56.68556185395131,1700,232.41080360120037,,0
15,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,4.2,14276,1299,4999,74% off,60,False,True,False,74.01480296059212,3700,310.8621724344869,,1
16,Noise,"Buds VS404 with 50 Hours Playtime, ENC with Quad ...",Jet Black, True Wireless,4.1,3969,1499,3499,57% off,50,False,True,False,57.15918833952558,2000,234.35267219205485,,1
17,Portronics,SoundDrum 1 10 W Bluetooth Speaker,Black, Mono Channel,4.3,41689,1099,2499,56% off,,False,False,False,56.022408963585434,1400,240.89635854341736,,0
18,Aroma,NB119Pro Belief 48 Hours Playing Time Fast Chargi...,Black  Silver, In the Ear,4.0,65327,395,1999,80% off,48,True,False,False,80.24012006003002,1604,320.9604802401201,,1
19,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Red, True Wireless,3.8,47151,1099,7999,86% off,30,False,False,False,86.26078259782473,6900,327.79097387173397,,0
20,Aroma,NB119D Dream 60 Hours Playing Time Fast Charging ...,Black  Silver, In the Ear,4.1,52942,431,2499,82% off,60,True,False,False,82.75310124049619,2068,339.2877150860344,,1
21,Lichen,B11 Neckband Bluetooth Headset Earphone Sports R...,Blue, In the Ear,3.8,309,299,1599,81% off,,False,False,False,81.30081300813008,1300,308.9430894308943,,0
22,ORAIMO,Shark 3 Deep Bass Neckband Bluetooth Headset,Black, In the Ear,4.1,17364,499,2499,80% off,,False,False,False,80.03201280512204,2000,328.13125250100035,,0
23,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Grey, True Wireless,3.8,47151,1099,7999,86% off,30,False,False,False,86.26078259782473,6900,327.79097387173397,,0
24,Aroma,NB119B Badshah 60 Hours Playing Time Fast Chargin...,Green, In the Ear,4.0,240115,419,2499,83% off,60,True,False,False,83.23329331732693,2080,332.9331732693077,,1
25,realme,Buds Wireless 2 Neo with Type-C Fast Charge & Ba...,Black, In the Ear,4.2,286234,1299,2499,48% off,,True,False,False,48.019207683073226,1200,201.68067226890756,,1
26,realme,Buds Wireless 2 Neo with Type-C Fast Charge & Ba...,Blue, In the Ear,4.2,286234,1299,2499,48% off,,True,False,False,48.019207683073226,1200,201.68067226890756,,1
